question_id,mu,sigma,se_before,se_mean,se_std,delta_se,question,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10
qb_1502--134/134_2618044.txt#0_0,2.0,0.5,-2.22e-16,1.487948317,0.082092181,-0.021430902,,,,,,,,,,,
qb_1502--134/134_2618044.txt#0_0,2.0,1.0,-2.22e-16,1.42822429,0.142780578,-0.08115493,,,,,,,,,,,
qb_1502--134/134_2618044.txt#0_0,2.0,2.0,-2.22e-16,1.249728275,0.244197009,-0.259650945,,,,,,,,,,,
qb_2774--81/81_303935.txt#0_0,0.0,0.5,-2.22e-16,0.920086061,0.020053601,-0.008460162,,,,,,,,,,,
qb_2774--81/81_303935.txt#0_0,0.0,1.0,-2.22e-16,0.899577554,0.041294108,-0.028968669,,,,,,,,,,,
qb_2774--81/81_303935.txt#0_0,0.0,2.0,-2.22e-16,0.823582244,0.096408813,-0.104963979,,,,,,,,,,,
qb_2774--81/81_303935.txt#0_0,0.5,0.5,-2.22e-16,0.926909387,0.018900472,-0.001636836,,,,,,,,,,,
qb_2774--81/81_303935.txt#0_0,0.5,1.0,-2.22e-16,0.913021918,0.040813032,-0.015524305,,,,,,,,,,,
qb_2774--81/81_303935.txt#0_0,0.5,2.0,-2.22e-16,0.847956113,0.103918819,-0.08059011,,,,,,,,,,,
qb_2774--81/81_303935.txt#0_0,1.0,0.5,-2.22e-16,0.92017192,0.020115287,-0.008374303,,,,,,,,,,,
qb_2774--81/81_303935.txt#0_0,1.0,1.0,-2.22e-16,0.899414432,0.045826819,-0.029131791,,,,,,,,,,,
qb_2774--81/81_303935.txt#0_0,1.0,2.0,-2.22e-16,0.811982451,0.120928292,-0.116563772,,,,,,,,,,,
